,CLIP,i,ons_item_name,period
0,100.0,0,"apple cider, bottle, 4.5%-5.5% abv",201601.0
1,100.61035936923706,1,"apple cider, bottle, 4.5%-5.5% abv",201602.0
2,98.86682779254062,2,"apple cider, bottle, 4.5%-5.5% abv",201603.0
3,98.21055365484041,3,"apple cider, bottle, 4.5%-5.5% abv",201604.0
4,97.93904405774342,4,"apple cider, bottle, 4.5%-5.5% abv",201605.0
5,95.9075129364882,5,"apple cider, bottle, 4.5%-5.5% abv",201606.0
6,96.83432265003138,6,"apple cider, bottle, 4.5%-5.5% abv",201607.0
7,96.51998898190524,7,"apple cider, bottle, 4.5%-5.5% abv",201608.0
8,95.45601727695768,8,"apple cider, bottle, 4.5%-5.5% abv",201610.0
9,95.26967594982247,9,"apple cider, bottle, 4.5%-5.5% abv",201611.0
10,100.0,0,"apples, dessert, per kg",201601.0
11,102.01239390931364,1,"apples, dessert, per kg",201602.0
12,106.10258419669574,2,"apples, dessert, per kg",201603.0
13,102.0190810872194,3,"apples, dessert, per kg",201604.0
14,84.72224505414621,4,"apples, dessert, per kg",201605.0
15,96.15084524572683,5,"apples, dessert, per kg",201606.0
16,95.77417442383944,6,"apples, dessert, per kg",201607.0
17,95.3158023043325,7,"apples, dessert, per kg",201608.0
18,111.6758163768743,8,"apples, dessert, per kg",201610.0
19,109.79404521230806,9,"apples, dessert, per kg",201611.0
20,100.0,0,"bananas, per kg",201601.0
21,100.0,1,"bananas, per kg",201602.0
22,100.0,2,"bananas, per kg",201603.0
23,99.74214263202992,3,"bananas, per kg",201604.0
24,99.6864771700565,4,"bananas, per kg",201605.0
25,100.0,5,"bananas, per kg",201606.0
26,100.0,6,"bananas, per kg",201607.0
27,100.0,7,"bananas, per kg",201608.0
28,100.0,8,"bananas, per kg",201610.0
29,100.0,9,"bananas, per kg",201611.0
30,100.0,0,"bitter, 4 cans, 3.4%-7.5% abv",201601.0
31,100.41697545092403,1,"bitter, 4 cans, 3.4%-7.5% abv",201602.0
32,81.12149513013442,2,"bitter, 4 cans, 3.4%-7.5% abv",201603.0
33,99.63498591184864,3,"bitter, 4 cans, 3.4%-7.5% abv",201604.0
34,85.71194298150179,4,"bitter, 4 cans, 3.4%-7.5% abv",201605.0
35,86.49507698099092,5,"bitter, 4 cans, 3.4%-7.5% abv",201606.0
36,99.71612770372913,6,"bitter, 4 cans, 3.4%-7.5% abv",201607.0
37,99.4294815529388,7,"bitter, 4 cans, 3.4%-7.5% abv",201608.0
38,112.19309289716955,8,"bitter, 4 cans, 3.4%-7.5% abv",201610.0
39,107.45980985980725,9,"bitter, 4 cans, 3.4%-7.5% abv",201611.0
40,100.0,0,"brandy, bottle",201601.0
41,91.67728821244563,1,"brandy, bottle",201602.0
42,84.66180359867573,2,"brandy, bottle",201603.0
43,101.10310020629336,3,"brandy, bottle",201604.0
44,101.44780479943103,4,"brandy, bottle",201605.0
45,98.80182837183003,5,"brandy, bottle",201606.0
46,99.25300947803984,6,"brandy, bottle",201607.0
47,97.2487559331032,7,"brandy, bottle",201608.0
48,100.17165892713602,8,"brandy, bottle",201610.0
49,99.14001891944197,9,"brandy, bottle",201611.0
50,100.0,0,"breakfast cereal 1, sugar/chocolate coated",201601.0
51,106.33875109229001,1,"breakfast cereal 1, sugar/chocolate coated",201602.0
52,103.94558209188499,2,"breakfast cereal 1, sugar/chocolate coated",201603.0
